panel,mechanism,point,x1,x2,signal
a,Null,0,-1.6903085094570331,-1.6903085094570331,0.0
a,Null,1,-1.6057930839841814,-1.6903085094570331,0.0
a,Null,2,-1.52127765851133,-1.6903085094570331,0.0
a,Null,3,-1.4367622330384782,-1.6903085094570331,0.0
a,Null,4,-1.3522468075656264,-1.6903085094570331,0.0
a,Null,5,-1.267731382092775,-1.6903085094570331,0.0
a,Null,6,-1.1832159566199232,-1.6903085094570331,0.0
a,Null,7,-1.0987005311470714,-1.6903085094570331,0.0
a,Null,8,-1.01418510567422,-1.6903085094570331,0.0
a,Null,9,-0.9296696802013682,-1.6903085094570331,0.0
a,Null,10,-0.8451542547285166,-1.6903085094570331,0.0
a,Null,11,-0.760638829255665,-1.6903085094570331,0.0
a,Null,12,-0.6761234037828132,-1.6903085094570331,0.0
a,Null,13,-0.5916079783099616,-1.6903085094570331,0.0
a,Null,14,-0.50709255283711,-1.6903085094570331,0.0
a,Null,15,-0.4225771273642583,-1.6903085094570331,0.0
a,Null,16,-0.3380617018914066,-1.6903085094570331,0.0
a,Null,17,-0.253546276418555,-1.6903085094570331,0.0
a,Null,18,-0.1690308509457033,-1.6903085094570331,0.0
a,Null,19,-0.08451542547285165,-1.6903085094570331,0.0
a,Null,20,0.0,-1.6903085094570331,0.0
a,Null,21,0.08451542547285165,-1.6903085094570331,0.0
a,Null,22,0.1690308509457033,-1.6903085094570331,0.0
a,Null,23,0.253546276418555,-1.6903085094570331,0.0
a,Null,24,0.3380617018914066,-1.6903085094570331,0.0
a,Null,25,0.4225771273642583,-1.6903085094570331,0.0
a,Null,26,0.50709255283711,-1.6903085094570331,0.0
a,Null,27,0.5916079783099616,-1.6903085094570331,0.0
a,Null,28,0.6761234037828132,-1.6903085094570331,0.0
a,Null,29,0.760638829255665,-1.6903085094570331,0.0
a,Null,30,0.8451542547285166,-1.6903085094570331,0.0
a,Null,31,0.9296696802013682,-1.6903085094570331,0.0
a,Null,32,1.01418510567422,-1.6903085094570331,0.0
a,Null,33,1.0987005311470714,-1.6903085094570331,0.0
a,Null,34,1.1832159566199232,-1.6903085094570331,0.0
a,Null,35,1.267731382092775,-1.6903085094570331,0.0
a,Null,36,1.3522468075656264,-1.6903085094570331,0.0
a,Null,37,1.4367622330384782,-1.6903085094570331,0.0
a,Null,38,1.52127765851133,-1.6903085094570331,0.0
a,Null,39,1.6057930839841814,-1.6903085094570331,0.0
a,Null,40,1.6903085094570331,-1.6903085094570331,0.0
a,Null,41,-1.6903085094570331,-1.6057930839841814,0.0
a,Null,42,-1.6057930839841814,-1.6057930839841814,0.0
a,Null,43,-1.52127765851133,-1.6057930839841814,0.0
a,Null,44,-1.4367622330384782,-1.6057930839841814,0.0
a,Null,45,-1.3522468075656264,-1.6057930839841814,0.0
a,Null,46,-1.267731382092775,-1.6057930839841814,0.0
a,Null,47,-1.1832159566199232,-1.6057930839841814,0.0
a,Null,48,-1.0987005311470714,-1.6057930839841814,0.0
a,Null,49,-1.01418510567422,-1.6057930839841814,0.0
a,Null,50,-0.9296696802013682,-1.6057930839841814,0.0
a,Null,51,-0.8451542547285166,-1.6057930839841814,0.0
a,Null,52,-0.760638829255665,-1.6057930839841814,0.0
a,Null,53,-0.6761234037828132,-1.6057930839841814,0.0
a,Null,54,-0.5916079783099616,-1.6057930839841814,0.0
a,Null,55,-0.50709255283711,-1.6057930839841814,0.0
a,Null,56,-0.4225771273642583,-1.6057930839841814,0.0
a,Null,57,-0.3380617018914066,-1.6057930839841814,0.0
a,Null,58,-0.253546276418555,-1.6057930839841814,0.0
