panel,series,point,x,y
binary,Mean,69,0.9500000000000002,0.2968106110541672
binary,Mean,70,1.0,0.3040946548035185
binary,Mean,71,1.0500000000000003,0.31147827560210833
binary,Mean,72,1.1,0.31895900536916305
binary,Mean,73,1.1500000000000004,0.3265341925685629
binary,Mean,74,1.2000000000000002,0.33420100345891185
binary,Mean,75,1.25,0.3419564240178539
binary,Mean,76,1.3000000000000003,0.3497972625548774
binary,Mean,77,1.35,0.3577201530228798
binary,Mean,78,1.4000000000000004,0.36572155903453113
binary,Mean,79,1.4500000000000002,0.37379777858501356
binary,Mean,80,1.5,0.38194494947806756
binary,Mean,81,1.5499999999999998,0.390159055447477
binary,Mean,82,1.6000000000000005,0.39843593296123087
binary,Mean,83,1.6500000000000004,0.40677127869064594
binary,Mean,84,1.7000000000000002,0.41516065762178717
binary,Mean,85,1.75,0.42359951178162053
binary,Mean,86,1.7999999999999998,0.43208316954654713
binary,Mean,87,1.8500000000000005,0.44060685549633577
binary,Mean,88,1.9000000000000004,0.44916570077206386
binary,Mean,89,1.9500000000000002,0.4577547538925397
binary,Mean,90,2.0,0.46636899197985743
binary,Mean,91,2.05,0.4750033323412949
binary,Mean,92,2.1000000000000005,0.48365264435173216
binary,Mean,93,2.1500000000000004,0.49231176157818596
binary,Mean,94,2.2,0.5009754940859688
binary,Mean,95,2.25,0.5096386408643987
binary,Mean,96,2.3000000000000007,0.5182960023089485
binary,Mean,97,2.3500000000000005,0.526942392696224
binary,Mean,98,2.4000000000000004,0.535572652588234
binary,Mean,99,2.45,0.5441816611030168
binary,Mean,100,2.5,0.5527643479898681
continuous,Mean,0,-2.5,35.0
continuous,Mean,1,-2.45,35.1
continuous,Mean,2,-2.4,35.2
continuous,Mean,3,-2.35,35.3
continuous,Mean,4,-2.3,35.4
continuous,Mean,5,-2.25,35.5
continuous,Mean,6,-2.2,35.6
continuous,Mean,7,-2.15,35.7
continuous,Mean,8,-2.1,35.8
continuous,Mean,9,-2.05,35.9
continuous,Mean,10,-2.0,36.0
continuous,Mean,11,-1.95,36.1
continuous,Mean,12,-1.9,36.2
continuous,Mean,13,-1.85,36.3
continuous,Mean,14,-1.7999999999999998,36.4
continuous,Mean,15,-1.75,36.5
continuous,Mean,16,-1.7,36.6
continuous,Mean,17,-1.65,36.7
continuous,Mean,18,-1.6,36.8
continuous,Mean,19,-1.5499999999999998,36.9
continuous,Mean,20,-1.5,37.0
continuous,Mean,21,-1.45,37.1
continuous,Mean,22,-1.4,37.2
continuous,Mean,23,-1.3499999999999999,37.3
continuous,Mean,24,-1.2999999999999998,37.4
continuous,Mean,25,-1.25,37.5
continuous,Mean,26,-1.2,37.6
continuous,Mean,27,-1.15,37.7
continuous,Mean,28,-1.0999999999999999,37.8
continuous,Mean,29,-1.0499999999999998,37.9
continuous,Mean,30,-1.0,38.0
continuous,Mean,31,-0.95,38.1
continuous,Mean,32,-0.8999999999999999,38.2
continuous,Mean,33,-0.8499999999999999,38.3
continuous,Mean,34,-0.7999999999999998,38.4
continuous,Mean,35,-0.75,38.5
continuous,Mean,36,-0.7,38.6
continuous,Mean,37,-0.6499999999999999,38.7
continuous,Mean,38,-0.5999999999999999,38.8
continuous,Mean,39,-0.5499999999999998,38.9
continuous,Mean,40,-0.5,39.0
continuous,Mean,41,-0.44999999999999973,39.1
continuous,Mean,42,-0.3999999999999999,39.2
continuous,Mean,43,-0.3500000000000001,39.3
continuous,Mean,44,-0.2999999999999998,39.4
continuous,Mean,45,-0.25,39.5
continuous,Mean,46,-0.19999999999999973,39.6
continuous,Mean,47,-0.1499999999999999,39.7
continuous,Mean,48,-0.09999999999999964,39.8
continuous,Mean,49,-0.04999999999999982,39.9
continuous,Mean,50,0.0,40.0
